lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-80.788533;-1.93395;Ophiothela mirabilis;1811271;0.000928;34.00600052;8.119000435;24.84199905;4.025000095;0.396573246;1
52.414704;25.668374;Ophiothela mirabilis;617669;0.000822;37.19599915;8.133999825;27.31200027;13.54699993;0.188052997;1
30.458333;-30.783333;Ophiothela mirabilis;3058206;0.000637;35.39899826;8.234000206;23.50799942;5.236000061;0.327182531;1
103.9924;1.4022;Ophiothela mirabilis;1669488;0.007705;32.91600037;7.706999779;30.84399986;5.828999996;0.33302629;1
103.935467;1.429;Ophiothela mirabilis;1665888;0.008288;32.9109993;7.717000008;30.77000046;3.536999941;0.334631115;1
104.079583;1.422367;Ophiothela mirabilis;1665889;0.008602;32.91699982;7.728000164;31.50399971;3.148999929;0.312323093;1
103.6307;1.329517;Ophiothela mirabilis;1673084;0.012246;32.89599991;7.649000168;31.04899979;5.775000095;0.414828181;1
151.90176;7.47795;Ophiothela mirabilis;1407263;0.000299;34.0929985;8.18900013;29.45199966;1.764999986;0.102982111;1
167.116667;-20.783333;Ophiothela mirabilis;2627846;8.80E-05;35.38000107;8.279000282;25.92700005;4.460999966;0.221051127;1
167.016667;-20.75;Ophiothela mirabilis;2627845;6.50E-05;35.35800171;8.277999878;25.9279995;4.517000198;0.004361324;1
167.033333;-20.9;Ophiothela mirabilis;2631445;6.50E-05;35.36700058;8.277999878;25.97500038;4.531000137;0.004361323;1
34.98300171;-24.79999924;Ophiothela mirabilis;2799060;0.000469;35.24599838;8.239999771;25.13299942;5.505000114;0.377553999;1
132.088;-11.0533;Ophiothela mirabilis;2206226;0.007056;34.26300049;8.210000038;28.97400093;5.925000191;0.132733002;1
127.8766708;26.50667;Ophiothela mirabilis;582575;0.000131;34.46900177;8.241999626;25.22500038;7.729000092;0.017227422;1
98;7.566999912;Ophiothela mirabilis;1403017;0.000104;32.22600174;8.173999786;29.80400085;2.21600008;0.167679474;1
116.7952;-20.4863;Ophiothela mirabilis;2612842;0.003226;35.59500122;8.274999619;27.25;8.104000092;0.129574388;1
145.466;-14.666;Ophiothela mirabilis;2361186;0.000338;35.02199936;8.411000252;26.77499962;5.481999874;0.088751875;1
127.7133331;26.43499947;Ophiothela mirabilis;586173;0.000106;34.44300079;8.241000175;25.25399971;7.732999802;0.007581446;1
99.973028;9.371198;Ophiothela mirabilis;1323840;0.006662;31.62100029;8.178999901;29.96299934;3.41899991;0.144496068;1
114.352;-21.6618;Ophiothela mirabilis;2663213;0.00125;35.08599854;8.282999992;25.61300087;5.794000149;0.278183311;1
116.8531;-20.5205;Ophiothela mirabilis;2616443;0.0067;35.61199951;8.276000023;26.89500046;9.276000023;0.146754801;1
132.063324;-11.17500019;Ophiothela mirabilis;2213425;0.007974;34.30400085;8.210000038;29.61599922;6.986999989;0.147062048;1
116.5148;-20.5095;Ophiothela mirabilis;2616439;0.002954;35.56800079;8.276000023;26.86199951;8.027999878;0.135268539;1
127.8483276;26.5;Ophiothela mirabilis;586175;0.002601;34.4640007;8.241999626;25.3390007;8.706999779;0.229014337;1
114.0142;-21.798;Ophiothela mirabilis;2670409;0.00059;35.05500031;8.284000397;25.62899971;5.331999779;0.278065175;1
