"lon";"lat";"species";"reference"
-104.351044;19.100717;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.435344;19.09675;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-104.438917;19.096403;"Ophiothela mirabilis";"Granja-Fernández et al., 2017"
-81.602892;4.004262;"Ophiothela mirabilis";"Cohen-Rengifo, 2017"
-80.788533;-1.93395;"Ophiothela mirabilis";"Malavé, 2015"
-80.7876;-1.9317;"Ophiothela mirabilis";"Malavé, 2015"
-80.792283;-1.9328;"Ophiothela mirabilis";"Malavé, 2015"
52.414704;25.668374;"Ophiothela mirabilis";"Al-Ansi and Al-Khayat, 1999"
30.458333;-30.783333;"Ophiothela mirabilis";"Clark, 1974"
103.9924;1.4022;"Ophiothela mirabilis";"Fujita and Irimura, 2015"
103.935467;1.429;"Ophiothela mirabilis";"Fujita and Irimura, 2015"
104.079583;1.422367;"Ophiothela mirabilis";"Fujita and Irimura, 2015"
103.6307;1.329517;"Ophiothela mirabilis";"Fujita and Irimura, 2015"
103.928367;1.418617;"Ophiothela mirabilis";"Fujita and Irimura, 2015"
151.90176;7.47795;"Ophiothela mirabilis";"Kerr et al., 2014"
167.116667;-20.783333;"Ophiothela mirabilis";"Stöhr, 2011"
167.016667;-20.75;"Ophiothela mirabilis";"Stöhr, 2011"
167.033333;-20.9;"Ophiothela mirabilis";"Stöhr, 2011"
167.05;-20.783333;"Ophiothela mirabilis";"Stöhr, 2011"
34.98300171;-24.79999924;"Ophiothela mirabilis";"OBIS"
132.088;-11.0533;"Ophiothela mirabilis";"OBIS"
127.8766708;26.50667;"Ophiothela mirabilis";"OBIS"
98;7.566999912;"Ophiothela mirabilis";"OBIS"
116.7952;-20.4863;"Ophiothela mirabilis";"OBIS"
145.466;-14.666;"Ophiothela mirabilis";"OBIS"
127.7133331;26.43499947;"Ophiothela mirabilis";"OBIS"
99.973028;9.371198;"Ophiothela mirabilis";"OBIS"
114.352;-21.6618;"Ophiothela mirabilis";"OBIS"
132.093;-11.0583;"Ophiothela mirabilis";"OBIS"
116.8531;-20.5205;"Ophiothela mirabilis";"OBIS"
132.063324;-11.17500019;"Ophiothela mirabilis";"OBIS"
116.5148;-20.5095;"Ophiothela mirabilis";"OBIS"
127.8483276;26.5;"Ophiothela mirabilis";"OBIS"
114.0142;-21.798;"Ophiothela mirabilis";"OBIS"
152.15;-32.716;"Ophiothela mirabilis";"OBIS"
85.333336;19.766666;"Ophiothela mirabilis";"OBIS"
-87.90000153;13.13749981;"Ophiothela mirabilis";"OBIS"
151.27499;-33.8;"Ophiothela mirabilis";"OBIS"
147.7;-18.966;"Ophiothela mirabilis";"OBIS"
116.7781;-20.3866;"Ophiothela mirabilis";"OBIS"
-82.60266876;4.008999825;"Ophiothela mirabilis";"OBIS"
132.175;-11.2433;"Ophiothela mirabilis";"OBIS"
132.063;-11.175;"Ophiothela mirabilis";"OBIS"
31.58300018;-29.35000038;"Ophiothela mirabilis";"OBIS"
153.266;-30.25;"Ophiothela mirabilis";"OBIS"
116.6133;-20.489;"Ophiothela mirabilis";"OBIS"
65.86699677;-21.35000038;"Ophiothela mirabilis";"OBIS"
151.333;-23.833;"Ophiothela mirabilis";"OBIS"
-44.2943;-23.1149;"Ophiothela mirabilis";"OBIS"
116.9175;-20.4008;"Ophiothela mirabilis";"OBIS"
122.92624;-12.24517;"Ophiothela mirabilis";"OBIS"
153.15;-30.316;"Ophiothela mirabilis";"OBIS"
-52.43;6.438333333;"Ophiothela mirabilis";"OBIS"
113.6453;-22.4802;"Ophiothela mirabilis";"OBIS"
113.7428;-22.6011;"Ophiothela mirabilis";"OBIS"
145.35;-14.783;"Ophiothela mirabilis";"OBIS"
145.664;-14.6641;"Ophiothela mirabilis";"OBIS"
120.97222;13.52417;"Ophiothela mirabilis";"OBIS"
127.8516693;26.39999962;"Ophiothela mirabilis";"OBIS"
148.716;-20.1;"Ophiothela mirabilis";"OBIS"
98.38280556;7.745333333;"Ophiothela mirabilis";"OBIS"
81.75;16.43333333;"Ophiothela mirabilis";"OBIS"
153.44166;-29.54166;"Ophiothela mirabilis";"OBIS"
92.91699982;19.83300018;"Ophiothela mirabilis";"OBIS"
153.633;-28.616;"Ophiothela mirabilis";"OBIS"
153.266;-30.2;"Ophiothela mirabilis";"OBIS"
114.908;-20.9896;"Ophiothela mirabilis";"OBIS"
