"species";"reference";"cells";"layer";"lon";"lat";"optional"
"Carijoa riisei";"GBIF";176495;0.546300232410431;-82.1;26.4;TRUE
"Carijoa riisei";"GBIF";185067;0.0185367185622454;-87.759058;25.67023;TRUE
"Carijoa riisei";"GBIF";392526;0.196689113974571;-79.5167;9.7333;TRUE
"Carijoa riisei";"GBIF";396842;0.418228536844254;-79.9133;9.3533;TRUE
"Carijoa riisei";"GBIF";406596;0.353474855422974;-77.0367;8.6333;TRUE
"Carijoa riisei";"GBIF";408756;0.352468758821487;-77.005;8.4683;TRUE
"Carijoa riisei";"GBIF";185138;0.52569317817688;-81.916666;25.683333;TRUE
"Carijoa riisei";"GBIF";181898;0.578806340694427;-81.916666;26;TRUE
"Carijoa riisei";"GBIF";NA;NA;56.42;26.58;TRUE
"Carijoa riisei";"GBIF";204560;0.0327426493167877;-83.37;24.22;TRUE
"Carijoa riisei";"GBIF";407896;0.302051544189453;-58.7;8.5333;TRUE
"Carijoa riisei";"GBIF";428452;0.261927545070648;-55.72;7;TRUE
"Carijoa riisei";"GBIF";431701;0.41777378320694;-54.97;6.75;TRUE
"Carijoa riisei";"GBIF";436021;0.441982001066208;-54.97;6.375;TRUE
"Carijoa riisei";"GBIF";436019;0.433336347341537;-55.0917;6.38;TRUE
"Carijoa riisei";"GBIF";430615;0.348073244094849;-55.42;6.82;TRUE
"Carijoa riisei";"GBIF";429526;0.312756299972534;-56.23;6.9;TRUE
"Carijoa riisei";"GBIF";490102;0.450422286987305;-48.17;2.23;TRUE
"Carijoa riisei";"GBIF";495510;0.528240144252777;-47.52;1.83;TRUE
"Carijoa riisei";"GBIF";442525;0.415418893098831;-53;5.85;TRUE
"Carijoa riisei";"GBIF";495511;0.403474360704422;-47.47;1.83;TRUE
"Carijoa riisei";"GBIF";485782;0.295606642961502;-48.23;2.58;TRUE
"Carijoa riisei";"GBIF";485769;0.280582338571548;-49.3;2.57;TRUE
"Carijoa riisei";"GBIF";202405;0.205561384558678;-82.9167;24.4;TRUE
